City,Country,Date,Lat,Lng,Wind Speed,Cloudiness,Max Temp,Humidity
Rikitea,PF,1584411815,-23.12,-134.97,4.67,55,300.21,81
Cidreira,BR,1584411818,-30.18,-50.21,5.3,89,295.73,81
Bluff,NZ,1584411865,-46.6,168.33,1.79,51,284.26,76
Ponta do Sol,PT,1584411842,32.67,-17.1,8.2,40,288.15,62
Punta Arenas,CL,1584411594,-53.15,-70.92,10.3,71,282.15,66
Canmore,CA,1584411866,51.08,-115.35,6.2,20,273.15,57
Port-Cartier,CA,1584411866,50.03,-66.87,1.5,20,258.71,83
Kaeo,NZ,1584411866,-35.1,173.78,6.26,98,294.26,60
Chui,UY,1584411860,-33.7,-53.46,3.34,0,290.86,76
Ferkessédougou,CI,1584411867,9.6,-5.2,2.45,99,299.61,60
New Norfolk,AU,1584411742,-42.78,147.06,5.1,67,297.59,43
Flin Flon,CA,1584411867,54.77,-101.86,4.41,67,256.58,86
Plettenberg Bay,ZA,1584411867,-34.05,23.37,2.53,17,290.74,76
Port Alfred,ZA,1584411815,-33.59,26.89,3.13,2,290.93,81
Sisimiut,GL,1584411868,66.94,-53.67,7.18,16,248.96,71
Bengkulu,ID,1584411834,-3.8,102.27,0.54,20,305.04,54
Busselton,AU,1584411825,-33.65,115.33,3.58,30,295.37,71
Bredasdorp,ZA,1584411818,-34.53,20.04,3.6,28,291.48,82
Yellowknife,CA,1584411746,62.46,-114.35,3.6,90,253.15,48
Ushuaia,AR,1584411495,-54.8,-68.3,14.9,40,281.15,61
Hobart,AU,1584411593,-42.88,147.33,5.1,12,297.59,43
Hermanus,ZA,1584411744,-34.42,19.23,0.45,44,291.48,68
Karratha,AU,1584411855,-20.74,116.85,4.66,0,303.4,68
Anloga,GH,1584411870,5.79,0.9,4.6,20,301.15,83
Tuktoyaktuk,CA,1584411814,69.45,-133.04,13.4,90,265.15,85
Hilo,US,1584411724,19.73,-155.09,4.1,75,297.59,78
Carnarvon,AU,1584411825,-24.87,113.63,7.7,40,299.15,65
Slave Lake,CA,1584411870,55.28,-114.77,2.64,90,270.15,53
Atuona,PF,1584411750,-9.8,-139.03,4.64,67,301.24,67
Geraldton,AU,1584411843,-28.77,114.6,5.7,75,296.15,64
Alofi,NU,1584411850,-19.06,-169.92,3.1,75,302.15,79
Cuamba,MZ,1584411871,-14.8,36.54,1.1,22,291.31,98
Okhotsk,RU,1584411871,59.38,143.3,6.35,11,261.29,67
Yangi Marg`ilon,UZ,1584411756,40.43,71.72,3.1,85,283.15,61
Haines Junction,CA,1584411871,60.75,-137.51,1.11,0,265.33,86
Batamshinskiy,KZ,1584411872,50.56,58.27,7.0,0,268.15,85
Klaksvík,FO,1584411830,62.23,-6.59,7.2,76,278.15,64
Shingū,JP,1584411872,33.73,135.98,2.6,40,283.15,57
Manokwari,ID,1584411836,-0.87,134.08,2.45,100,299.96,65
Codrington,AU,1584411872,-38.27,141.97,5.72,100,294.8,50
Khor,RU,1584411872,47.89,134.95,5.35,86,267.94,89
Puerto Ayora,EC,1584411818,-0.74,-90.35,2.24,76,299.26,81
Ternate,ID,1584411827,0.8,127.4,1.59,51,305.31,52
Taytay,PH,1584411873,14.57,121.14,2.6,40,303.71,58
Bathsheba,BB,1584411829,13.22,-59.52,4.1,20,298.15,73
Douentza,ML,1584411873,15.0,-2.95,2.57,79,300.8,10
Mar del Plata,AR,1584411758,-38.0,-57.56,2.1,0,290.93,82
Treinta y Tres,UY,1584411874,-33.23,-54.38,4.61,0,287.86,86
Grindavik,IS,1584411779,63.84,-22.43,3.1,90,274.15,90
East London,ZA,1584411825,-33.02,27.91,9.0,22,291.71,78
Amapá,BR,1584411874,1.0,-52.0,1.18,96,295.58,99
High Level,CA,1584411874,58.52,-117.14,4.6,90,269.15,41
Saskylakh,RU,1584411860,71.92,114.08,6.55,10,240.06,91
Antsohihy,MG,1584411875,-14.88,47.99,0.92,27,295.27,92
Severnoye,RU,1584411875,56.35,78.36,2.57,100,267.98,89
Albany,US,1584411824,42.6,-73.97,7.2,75,277.15,55
Ossora,RU,1584411875,59.24,163.07,4.54,100,272.37,94
Clyde River,CA,1584411839,70.47,-68.59,3.1,75,242.15,74
Bethel,US,1584411837,41.37,-73.41,4.1,75,277.59,69
Lebu,CL,1584411876,-37.62,-73.65,3.25,7,287.02,80
Port Elizabeth,ZA,1584411618,-33.92,25.57,9.8,0,291.15,77
Cape Town,ZA,1584411362,-33.93,18.42,0.5,31,291.48,77
Qaryat Sulūq,LY,1584411876,31.67,20.25,8.27,0,286.33,71
Airai,TL,1584411778,-8.93,125.41,2.38,59,300.46,56
Palmer,US,1584411877,42.16,-72.33,4.1,1,274.82,59
Mataura,NZ,1584411816,-46.19,168.86,1.79,43,284.26,76
Tuatapere,NZ,1584411822,-46.13,167.68,1.79,1,284.26,76
Kalmunai,LK,1584411878,7.42,81.82,5.9,100,301.55,76
Kapaa,US,1584411835,22.08,-159.32,6.7,90,296.15,94
Mufumbwe,ZM,1584411878,-13.68,24.8,3.56,100,290.8,98
Grand Gaube,MU,1584411876,-20.01,57.66,4.1,75,297.15,94
Manaquiri,BR,1584411879,-3.32,-60.35,2.1,100,302.15,74
Tsabong,BW,1584411879,-26.02,22.4,4.04,47,295.58,51
Avera,US,1584411818,33.19,-82.53,2.1,90,289.15,82
Adrar,MR,1584411879,20.5,-10.07,4.48,53,291.44,22
Wanning,CN,1584411879,18.8,110.4,3.64,100,297.15,75
Kemijärvi,FI,1584411838,66.71,27.43,3.96,96,267.14,94
Olafsvik,IS,1584411868,64.89,-23.71,22.57,95,271.23,78
Dessie,ET,1584411880,11.13,39.63,0.89,90,284.38,86
Kysyl-Syr,RU,1584411880,63.9,122.76,1.31,100,264.93,92
Ariano Irpino,IT,1584411881,41.15,15.08,0.5,5,283.15,93
Avarua,CK,1584411749,-21.21,-159.78,5.7,100,299.15,94
Kaitangata,NZ,1584411821,-46.28,169.85,3.74,100,283.61,61
Tasiilaq,GL,1584411814,65.61,-37.64,1.76,100,262.15,85
Shurugwi,ZW,1584411881,-19.67,30.01,5.82,100,289.83,93
Kupang,ID,1584411882,-10.17,123.58,2.1,20,304.15,62
Saint-Philippe,RE,1584411786,-21.36,55.77,2.1,75,297.15,88
Banda Aceh,ID,1584411804,5.56,95.32,2.63,24,302.65,66
Nikolskoye,RU,1584411801,59.7,30.79,1.0,0,272.04,92
Port Hedland,AU,1584411882,-20.32,118.57,2.1,0,309.15,44
Samarai,PG,1584411882,-10.62,150.67,3.98,99,303.39,59
Santa Maria,BR,1584411680,-29.68,-53.81,2.83,0,291.08,86
Lorengau,PG,1584411820,-2.02,147.27,7.33,100,299.27,87
Mandurah,AU,1584411728,-32.55,115.7,6.7,40,296.48,64
Westport,US,1584411870,41.14,-73.36,4.6,90,278.71,64
Saldanha,ZA,1584411768,-33.01,17.94,3.6,0,294.15,49
Jamestown,US,1584411778,42.1,-79.24,1.5,90,279.15,75
Alexandria,EG,1584411884,31.22,29.96,6.2,40,288.15,82
Dikson,RU,1584411817,73.51,80.55,13.68,100,257.4,93
Lavrentiya,RU,1584411849,65.58,-171.0,5.7,100,272.56,96
Villazón,BO,1584411884,-22.09,-65.59,2.78,100,284.39,82
Lake Shasta,US,1584411884,40.68,-122.37,1.5,90,284.15,62
Saint-Augustin,CA,1584411885,51.23,-58.65,4.0,0,261.2,86
Nanortalik,GL,1584411823,60.14,-45.24,15.71,0,265.45,60
Nabire,ID,1584411867,-3.37,135.48,1.33,44,301.9,75
Leningradskiy,RU,1584411763,69.38,178.42,4.14,100,269.9,81
Korla,CN,1584411773,41.76,86.15,2.6,33,276.48,93
Sorong,ID,1584411877,-0.88,131.25,0.17,39,308.49,42
Souillac,MU,1584411886,-20.52,57.52,4.1,75,297.15,94
Buala,SB,1584411886,-8.14,159.59,1.8,40,301.49,75
Noumea,NC,1584411858,-22.28,166.46,5.1,90,301.48,65
Ocean City,US,1584411790,39.28,-74.57,2.6,90,280.15,70
Sann,PK,1584411886,26.04,68.14,2.1,40,289.15,77
Castro,BR,1584411616,-24.79,-50.01,1.18,99,290.77,97
Bergisch Gladbach,DE,1584411887,50.98,7.13,3.1,75,284.26,81
Portland,US,1584411747,45.52,-122.68,6.7,20,287.59,35
Huarmey,PE,1584411861,-10.07,-78.15,0.95,99,296.8,68
Monrovia,LR,1584411887,6.3,-10.8,3.5,75,299.15,94
Kambam,ID,1584411888,5.25,96.86,1.97,8,300.86,67
Maceió,BR,1584411888,-9.67,-35.74,1.5,75,297.15,94
Butaritari,KI,1584411815,3.07,172.79,4.22,60,301.94,75
Mossamedes,AO,1584411820,-15.2,12.15,3.53,99,296.82,83
Banff,CA,1584411888,51.18,-115.57,5.36,8,270.93,56
Berlevåg,NO,1584411822,70.86,29.09,16.46,100,270.33,76
Santa Vitória do Palmar,BR,1584411659,-33.52,-53.37,3.34,0,290.86,76
Nālūt,LY,1584411889,30.33,10.85,11.17,51,286.71,70
Barrow,US,1584411634,71.29,-156.79,3.1,40,260.15,84
Yenagoa,NG,1584411890,4.92,6.26,1.48,100,299.75,87
Marondera,ZW,1584411890,-18.19,31.55,2.1,67,288.15,87
Myanaung,MM,1584411890,18.28,95.32,2.05,0,305.24,23
Kiama,AU,1584411854,-34.68,150.87,4.1,40,296.15,43
Port Hardy,CA,1584411812,50.7,-127.42,4.1,5,283.15,46
Arrondissement de Troyes,FR,1584411890,48.33,4.08,2.6,90,283.15,87
Narsaq,GL,1584411844,60.92,-46.05,1.5,0,263.15,56
Semey,KZ,1584411891,50.41,80.23,5.0,0,273.15,78
São Filipe,CV,1584411846,14.9,-24.5,7.37,0,293.08,75
Port Blair,IN,1584411667,11.67,92.75,5.16,89,301.51,75
Arraial do Cabo,BR,1584411822,-22.97,-42.03,9.48,100,298.94,86
Thompson,CA,1584411824,55.74,-97.86,8.2,90,260.15,71
Suşehri,TR,1584411892,40.16,38.09,6.13,100,261.25,94
Cabo San Lucas,MX,1584411782,22.89,-109.91,2.6,20,295.15,56
Mezen',RU,1584411892,65.85,44.24,7.22,30,266.82,90
Sechura,PE,1584411891,-5.56,-80.82,2.07,100,297.71,81
Hualmay,PE,1584411835,-11.1,-77.61,1.29,100,296.13,72
Ribeira Grande,PT,1584411761,38.52,-28.7,5.13,91,287.64,87
Vanimo,PG,1584411893,-2.67,141.3,2.36,100,300.71,74
Nianzishan,CN,1584411893,47.52,122.88,2.29,0,273.8,100
Faanui,PF,1584411750,-16.48,-151.75,3.0,40,301.61,71
Qaanaaq,GL,1584411748,77.48,-69.36,6.08,9,249.77,65
Salalah,OM,1584411809,17.02,54.09,1.5,75,298.15,73
Krasnoarmeysk,RU,1584411894,51.02,45.7,0.45,0,270.37,68
